#Probblem size    Iterations     Distance      Wall time\n
10           182                  0.009694                  0.001976
20           638                  0.009907                  0.044769
30           1354                  0.009993                  0.316872
40           2322                  0.009974                  1.331680
50           3537                  0.009986                  3.867724
60           4990                  0.009996                  9.386661
70           6685                  0.009993                  19.753519
80           8612                  0.009998                  37.840609
90           10000                  0.015868                  62.105963
100           10000                  0.046206                  84.770712
110           10000                  0.101458                  113.294412
120           10000                  0.183255                  149.940352
130           10000                  0.289160                  198.906498
140           10000                  0.412668                  253.267749
150           10000                  0.548834                  315.492542
160           10000                  0.689958                  387.759045
170           10000                  0.832810                  458.628610
180           10000                  0.972037                  546.320757
190           10000                  1.106813                  654.439173
