#Probblem size    Iterations     Distance      Wall time\n
20           638                  0.009907                  0.010000
50           3537                  0.009986                  1.800000
100           10000                  0.046206                  40.580000
150           10000                  0.548834                  213.470000
200           10000                  1.234518                  504.780000
250           10000                  1.786953                  988.920000
